index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.3,1.2,-4.1,-19.8,2.0,-4.2,1.0,-0.1,0.0,0.1564614394089001,0.454281633226858,0.430259339404536,0.5516532579539615,0.552255629629741,103.1008633917978,353.0580850905353,214.9172977777244,100.33274563606524,103.1008633917978,-70.35061227458084,0.8442486162592379,1.0,11,1.9147833516288024,-3.2630771512012102,16.565502227376058,12.0,0.2661793833566266,-0.1968861564422517,5.081575297120175,-0.1373836640226813,0.2555159162299131,-0.9569939108546568,0.4221243081296189,1.8291776225666097,-1.7133796749207055,391.6649372723487,117.87223073735888,898.2522712417009,898.2522712417009,1,0.0
75,2.3,-15.5,1.7,-4.6,-18.1,1.7,-4.3,1.0,0.0,-0.1,0.0,0.6102106839394585,0.5285875557517752,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,11,0.4719413560129675,-4.652438453381635,50.6682010790129,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.7748969668718,183.0705693182504,293.67531672963605,293.67531672963605,75,2.3
160,4.54,-17.3,0.8,-7.6,-15.7,1.7,-1.3,-0.3,-0.1,-0.9,0.2440356306146639,0.2641140276529874,0.4576472919887493,0.6308494059572707,0.5518634777462152,42.13340744506971,403.7436198126532,215.1055306818167,41.34365212680292,42.13340744506971,17.102281508148934,1.5595798693063525,1.0,13,2.0912002218399155,-1.6777139211104302,34.93179088830762,12.0,3.108661924642456,-0.92179320993511,22.998922182009608,0.084788475233545,0.0629933925979433,-0.9944057255248344,0.7797899346531763,1.6338314553517366,-1.4857365887748264,357.1164519358991,210.2224648482985,425.9730068686698,425.9730068686698,160,4.54
199,5.6,-21.1,0.3,-8.4,-13.7,1.7,-2.5,-0.8,-0.1,-0.6,0.0920062687837404,0.6083485268214026,0.4317771193015458,0.4981379072660817,0.5391503282446493,48.87916740118492,318.8082606502923,221.2078424425684,47.98910928984316,48.87916740118492,-15.735215777310316,1.825420801246478,1.0,13,2.0912002218399155,-1.6777139211104302,34.93179088830762,12.0,-0.0508186994471091,-0.6992162512766409,23.16513047632248,-0.1785015767739187,0.0815414724861491,-0.9805550343320948,0.912710400623239,1.6524284324244058,-1.7508658592863948,357.1164519358991,210.2224648482985,425.9730068686698,425.9730068686698,199,5.6
226,6.29,-23.4,0.5,-0.5,-13.7,1.7,-4.0,-0.9,-0.1,0.4,1.0,0.3360321301807343,0.5332504798268465,0.5966563635718034,0.5214915336662156,103.31344974044238,381.8600726859542,229.68406384021648,98.77755858105223,103.31344974044238,-80.06038243009988,0.0741890642961509,1.0,13,1.8812464621518667,-3.4796008291466523,11.785942164280804,12.0,0.044157641968398,-0.0065969085035249,0.4473642801740691,-0.153090735015289,0.2894169933869273,-0.944881490342228,0.0370945321480754,1.8644140353713872,-1.73142161307347,418.9630519373358,56.95544709110075,1262.5210435103131,1262.5210435103131,226,6.29
243,6.78,-23.4,0.4,-0.2,-12.7,1.7,-4.0,-0.9,-0.1,0.4,0.0062782996353484,-4.770426571656754,9.13922808019565,2.087541340461969,0.2723688962663063,2356.143284092227,1336.0264578956603,349.26292979217294,1441.8297604588236,2356.143284092227,74.24402162622641,1.3249728102102858,1.0,13,1.8812464621518667,-3.4796008291466523,11.785942164280804,12.0,0.5386977666121002,0.3370874984011518,0.4885772852276009,-0.1118790579616472,0.3180573606289837,-0.9414470732544338,0.6624864051051429,1.894476064735912,-1.6890789319375,418.9630519373358,56.95544709110075,1262.5210435103131,1262.5210435103131,243,6.78
265,7.47,-14.2,1.1,-5.0,-12.6,1.7,-5.2,-0.9,-0.2,0.3,0.0128223290855831,-0.8355171107435756,6.901778376416289,-0.001726352023862,-0.0655776725993104,1262.1998741777277,-1.1048652952717362,511.477282847669,796.6714683563741,1262.1998741777277,-54.83824448668932,1.2861230705808189,1.0,13,1.8812464621518667,-3.4796008291466523,11.785942164280804,12.0,-0.4147672027852949,0.4435916160351283,0.6802282165649522,-0.1913344720780968,0.3269327037651484,-0.9254761623096543,0.6430615352904093,1.9038524194974245,-1.7746657620288817,418.9630519373358,56.95544709110075,1262.5210435103131,1262.5210435103131,265,7.47
276,7.81,-15.3,1.1,-4.2,-11.8,1.7,-5.2,-0.9,-0.2,0.3,0.8176118328934604,0.4302397976225012,0.5176406507280955,0.5606717283471969,0.5201853279812725,109.53795042517852,358.829906142206,230.3110425689892,104.67841867986638,109.53795042517852,-72.03692823234218,0.0793907365281713,1.0,13,1.8812464621518667,-3.4796008291466523,11.785942164280804,12.0,0.0276618472675564,-0.006072676620243,0.4502098875784899,-0.1544653845736925,0.2894606793772007,-0.9446443563918596,0.0396953682640856,1.864459674892418,-1.7328788797649948,418.9630519373358,56.95544709110075,1262.5210435103131,1262.5210435103131,276,7.81
362,10.47,-20.7,0.9,0.4,-11.6,1.7,-3.1,-0.9,-0.1,0.3,0.0,0.6102106839394585,0.5285875557517752,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,15,1.8707026993134928,-3.971711666585642,11.168078824368234,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,423.8527478014981,19.50896729792765,1332.368819562101,1332.368819562101,362,10.47
530,14.96,-16.8,1.6,0.4,-17.0,1.7,-0.8,0.0,-0.2,1.0,0.0,0.6102106839394585,0.5285875557517752,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,0.171770011389083,15,1.6848487897811035,-3.978220969436149,11.195313739369386,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,413.30745649323137,19.684870074097063,1329.1275569770828,1329.1275569770828,530,14.96
