index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,2.3,-4.0,-19.8,2.5,-4.2,1.0,0.0,0.0,0.949728443,0.412319273,0.43973922,0.709816763,0.481943746,121.8660267,454.2827286,248.6670018,111.2404122,121.8660267,-82.75765033,7.04e-08,1.0,10,1.732710721,4.387704913,11.03384645,12,7.88e-08,3.98e-09,3.67e-07,-0.144392554,-0.365642076,-0.919487174,3.52e-08,1.196473774,-1.726560208,417.3622981,486.5483871,1348.577766,1348.577766,1,0.0
338,12.22,-9.3,1.6,-3.8,-17.0,1.7,-3.4,1.0,0.0,0.0,1.0,0.721548873,0.470277935,0.619488913,0.451983388,88.72447914,396.4729046,263.0479739,81.33709688,88.72447914,-84.87579898,5.72e-08,0.118980784,13,1.674033613,-4.170364654,11.12680004,12,4.94e-08,1.56e-08,4.03e-07,-0.139502797,0.347530389,-0.927233303,2.86e-08,1.925732363,-1.720126919,413.2793648,7.621771173,1337.311711,1337.311711,338,12.22
674,24.41,-9.3,1.2,-5.2,-17.4,1.7,-4.1,1.0,-0.1,-0.1,1.0,0.627707041,0.455768284,0.647627837,0.463312474,109.3793688,414.4818154,257.6100125,99.76477874,109.3793688,88.84877484,4.66e-08,1.0,16,1.439860964,-4.318144832,11.10317214,12,4.05e-08,8.27e-09,2.68e-07,-0.11998841,0.359845403,-0.925264323,2.33e-08,1.938898519,-1.699756777,400.4016894,-1.124766994,1340.157552,1340.157552,674,24.41
793,28.68,-15.9,0.7,-4.3,-16.7,1.7,-4.2,1.0,-0.3,-0.1,1.0,0.510287739,0.239509445,0.676436852,0.542019216,91.52522625,432.9195856,219.8307762,83.86175302,91.52522625,85.89211575,4.93e-08,1.0,16,2.206405667,3.998503097,11.09701558,12,6.15e-08,-1.16e-08,3.4e-07,-0.183867134,-0.333208592,-0.92475127,2.46e-08,1.231091722,-1.767065426,443.2738211,463.3998775,1340.901064,1340.901064,793,28.68
1032,37.46,-9.3,0.6,-3.6,-16.7,1.7,-2.4,1.0,-0.1,-0.1,1.0,0.53474626,0.3786671,0.672666317,0.495264082,120.3138949,430.5064431,242.2732408,110.4097525,120.3138949,86.47317138,8.83e-08,1.0,16,1.607698332,-4.285447714,11.09280192,12,8.18e-08,3.09e-09,4.63e-07,-0.133974854,0.357120643,-0.924400122,4.42e-08,1.935979766,-1.714725826,409.8576368,0.477325632,1341.410412,1341.410412,1032,37.46
1127,40.86,-9.3,0.6,-4.5,-14.0,1.7,-2.5,1.0,-0.1,-0.1,0.0,1.081058491,0.243882399,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,16,1.74681792,-4.010026124,11.17444967,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.9199506,17.50884651,1331.609201,1331.609201,1127,40.86
1435,51.93,-9.3,2.2,-5.4,-13.6,1.7,-5.1,1.0,0.2,0.0,0.744446443,0.643457227,0.411750277,0.641521642,0.477262594,117.2864037,410.5738507,250.913955,109.2276037,117.2864037,-85.71698906,7.23e-08,1.0,16,1.89126603,-3.834969639,11.21232043,12,5.59e-08,7.81e-09,3.87e-07,-0.157605498,0.319580804,-0.934360004,3.62e-08,1.896083385,-1.737900838,424.5800417,27.94031171,1327.111555,1327.111555,1435,51.93
1655,59.88,-13.4,1.5,-9.7,-12.8,1.7,-5.2,-0.1,0.0,-1.0,1.0,0.593428566,0.366390208,0.655083,0.495620483,133.6600367,419.2531202,242.1021682,125.0520186,133.6600367,-88.71516633,1.09e-07,1.0,16,1.865154876,-3.783673903,11.23410081,12,8.14e-08,3.46e-09,5.15e-07,-0.155429566,0.315306159,-0.936175024,5.47e-08,1.891575579,-1.735321767,422.9362334,31.1824132,1324.538586,1324.538586,1655,59.88
1748,63.28,-16.8,1.6,-8.4,-13.7,1.7,-4.7,-0.5,0.0,-0.9,1.0,0.87899594,0.426942453,0.568299652,0.455211068,126.6955954,363.7117772,261.4986871,118.3726554,126.6955954,-75.03467045,1.12e-07,1.0,16,1.82698533,-3.656888985,11.28225598,12,3.78e-08,2.06e-08,5.48e-07,-0.152248774,0.30474075,-0.940187952,5.58e-08,1.880462548,-1.731337136,420.3993268,39.04097412,1318.885162,1318.885162,1748,63.28
1824,66.18,-19.4,1.0,-8.3,-13.5,1.7,-2.8,-0.6,-0.1,-0.8,1.0,0.982559327,0.389934307,0.533317255,0.459394893,105.3165958,341.3230432,259.4904516,99.92516976,105.3165958,-65.67477247,6.41e-08,1.0,16,1.912686602,-3.068711842,11.44223082,12,1.26e-08,1.25e-08,3.78e-07,-0.159390549,0.255725988,-0.953519204,3.2e-08,1.829394913,-1.73642525,423.6393787,73.72111859,1300.445711,1300.445711,1824,66.18
1893,68.65,-22.7,0.9,-8.4,-15.2,1.7,-2.0,-0.8,0.0,-0.6,0.99,0.510081708,0.368336236,0.679553792,0.500243262,142.0335836,434.9144266,239.8832343,135.5376015,142.0335836,88.74815656,1.19e-07,1.0,16,2.002146556,-2.887028264,11.47416618,12,9.67e-08,1.44e-09,5.28e-07,-0.166845538,0.240585689,-0.956180471,5.94e-08,1.813765545,-1.743548737,428.1848429,84.00108069,1296.826259,1296.826259,1893,68.65
