index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.6,0.0,-2.1,-19.8,2.5,-4.2,1.0,-0.3,0.0,0.034723051,-0.438920992,-0.044175247,0.671963844,0.86453407,159.4854198,430.05686,65.0236462,152.1530479,159.4854198,12.79974419,3.318160527,1.0,3,1.674035357,-5.557644552,25.17297568,12,2.377866376,-3.730501112,13.33379628,0.058652585,0.152261953,-0.986598283,1.659080263,1.723652837,-1.511416907,361.2307998,103.1175088,591.1100933,591.1100933,1,0.0
10,0.496,-15.5,2.5,-5.1,-20.0,1.7,-4.2,1.0,0.1,-0.2,0.99,0.464660462,0.618888872,0.577660877,0.535554686,145.1974651,369.7029612,222.9337509,131.6843122,145.1974651,85.70413869,3.354546395,1.0,3,1.674035357,-5.557644552,25.17297568,12,1.142812474,-0.318374804,14.39021839,-0.044268574,0.436605812,-0.898563107,1.677273198,2.022618756,-1.620022486,361.2307998,103.1175088,591.1100933,591.1100933,10,0.496
506,17.769,-15.5,2.2,-3.9,-19.8,1.6,-4.2,1.0,0.0,0.0,1.0,0.253808107,0.752045857,0.636806297,0.50588945,150.4412266,407.5560299,237.173064,136.8751594,150.4412266,89.25506445,5.98e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.47e-08,1.61e-10,2.49e-07,-0.122499378,0.396631545,-0.909767728,2.99e-08,1.978640822,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,506,17.769
580,20.272,-15.5,2.4,-4.4,-19.8,1.6,-4.1,1.0,0.0,-0.3,1.0,0.054973869,0.799871043,0.688531661,0.509380792,162.1511959,440.6602632,235.49722,146.2208659,162.1511959,83.48951758,6.34e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.75e-08,-3.23e-10,2.47e-07,-0.122499377,0.396631545,-0.909767729,3.17e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,580,20.272
582,20.336,-15.5,2.4,-4.4,-19.7,1.6,-4.1,1.0,0.0,-0.3,1.0,0.057956901,0.802247222,0.687735467,0.508310986,162.6765186,440.1506988,236.0107267,146.6738425,162.6765186,83.62346417,6.36e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.73e-08,-1.09e-10,2.47e-07,-0.122499377,0.396631545,-0.909767729,3.18e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,582,20.336
585,20.436,-15.5,2.4,-4.2,-19.6,1.6,-4.0,1.0,0.0,-0.3,1.0,0.06551066,0.80418425,0.685775513,0.506911542,163.6578112,438.8963281,236.6824598,147.5607927,163.6578112,83.88951982,6.41e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.68e-08,1.77e-10,2.47e-07,-0.122499377,0.396631545,-0.909767729,3.2e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,585,20.436
587,20.5,-15.5,2.4,-4.2,-19.5,1.6,-4.0,1.0,0.0,-0.3,1.0,0.075487911,0.804562035,0.683209409,0.505765712,163.9307196,437.254022,237.2324583,147.8398673,163.9307196,84.20089357,6.42e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.62e-08,4.02e-10,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.21e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,587,20.5
588,20.532,-15.5,2.4,-4.2,-19.4,1.6,-3.9,1.0,0.0,-0.3,1.0,0.077238749,0.803497625,0.682781335,0.50593047,164.3837733,436.9800542,237.1533742,148.269018,164.3837733,84.23714154,6.44e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.61e-08,3.79e-10,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.22e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,588,20.532
590,20.6,-15.5,2.4,-4.0,-19.3,1.6,-3.8,1.0,0.0,-0.3,1.0,0.081495226,0.807312521,0.681598642,0.50426002,165.2081941,436.223131,237.9551904,148.9744523,165.2081941,84.43935164,6.48e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.58e-08,7.15e-10,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.24e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,590,20.6
592,20.664,-15.5,2.5,-3.9,-19.1,1.6,-3.8,1.0,0.0,-0.3,0.881523938,0.09131951,0.809753748,0.678988142,0.502461968,166.5167569,434.5524108,238.8182553,150.1541648,166.5167569,84.79185783,6.54e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.52e-08,1.09e-09,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.27e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,592,20.664
593,20.7,-15.5,2.5,-3.9,-19.1,1.6,-3.7,1.0,0.0,-0.3,0.850313996,0.096914647,0.80996583,0.677521462,0.501820768,167.519431,433.6137358,239.1260312,151.0736369,167.519431,84.97381385,6.59e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.48e-08,1.23e-09,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.29e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,593,20.7
594,20.732,-15.5,2.5,-3.9,-19.0,1.6,-3.7,1.0,0.0,-0.3,0.743003929,0.108615127,0.810185183,0.674443737,0.500556875,167.6018744,431.6439914,239.7326998,151.1854646,167.6018744,85.34578665,6.6e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,4.41e-08,1.48e-09,2.48e-07,-0.122499377,0.396631545,-0.909767729,3.3e-08,1.978640822,-1.704640388,403.4824228,-30.30146787,1362.985225,1362.985225,594,20.732
621,21.788,-9.3,2.9,-5.7,-19.0,1.6,-3.6,1.0,0.0,-0.2,0.808257884,0.293055639,0.87191894,0.621173222,0.463476456,165.8471499,397.5508624,257.5313009,149.0109317,165.8471499,-87.64255541,6.71e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.11e-08,8.74e-09,2.53e-07,-0.122499378,0.396631546,-0.909767728,3.36e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,621,21.788
625,21.916,-15.5,2.7,-4.0,-19.0,1.6,-3.7,1.0,0.0,-0.2,0.926585911,0.224989125,0.844195615,0.641469801,0.478130275,164.2773573,410.5406729,250.4974678,147.97305,164.2773573,89.7153549,6.58e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.61e-08,5.8e-09,2.51e-07,-0.122499377,0.396631546,-0.909767728,3.29e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,625,21.916
641,22.512,-9.3,2.7,-5.5,-18.6,1.6,-3.7,1.0,0.0,-0.2,1.0,0.190828534,0.876237801,0.649421088,0.470924851,161.243763,415.629496,253.9560716,144.7316482,161.243763,89.09190416,6.46e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.82e-08,7.14e-09,2.52e-07,-0.122499377,0.396631546,-0.909767728,3.23e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,641,22.512
643,22.576,-9.3,2.7,-5.5,-18.6,1.6,-3.8,1.0,0.0,-0.2,1.0,0.188706116,0.880970803,0.649766702,0.469599095,161.3688557,415.8506893,254.5924346,144.7726671,161.3688557,89.10013549,6.47e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.83e-08,7.41e-09,2.52e-07,-0.122499377,0.396631546,-0.909767728,3.23e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,643,22.576
653,22.919,-9.3,2.8,-5.5,-18.2,1.6,-3.8,1.0,0.0,-0.2,1.0,0.189120746,0.906777805,0.648259669,0.461278627,163.699774,414.8861881,258.5862588,146.4867951,163.699774,89.52969142,6.58e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.8e-08,9.09e-09,2.52e-07,-0.122499377,0.396631546,-0.909767728,3.29e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,653,22.919
656,23.004,-9.3,2.8,-5.5,-18.1,1.6,-3.9,1.0,0.0,-0.2,1.0,0.187396071,0.914980077,0.648269608,0.458819943,162.563118,414.8925492,259.7664275,145.3524934,162.563118,89.60156839,6.54e-08,1.0,9,1.469992566,-4.759578543,10.91721299,12,3.81e-08,9.56e-09,2.53e-07,-0.122499377,0.396631546,-0.909767728,3.27e-08,1.978640823,-1.704640389,403.4824228,-30.30146787,1362.985225,1362.985225,656,23.004
777,27.224,-9.3,3.2,-5.5,-17.8,1.6,-3.9,1.0,0.0,-0.2,1.0,0.242535297,0.95299207,0.630875321,0.442131719,161.1873063,403.7602051,267.7767749,143.4555641,161.1873063,-88.27678605,1.08e-07,1.0,9,1.4604181,-4.786926258,10.90653589,12,5.59e-08,2.13e-08,4.21e-07,-0.121701504,0.398910523,-0.908877956,5.41e-08,1.981124764,-1.703907554,403.0198728,-32.12070909,1364.319537,1364.319537,777,27.224
783,27.424,-9.3,3.2,-5.5,-17.8,1.6,-4.0,1.0,0.0,-0.2,1.0,0.249891222,0.950330442,0.629024817,0.442375377,161.2903122,402.5758831,267.6598193,143.5881321,161.2903122,-88.0949601,1.08e-07,1.0,9,1.4604181,-4.786926258,10.90653589,12,5.51e-08,2.12e-08,4.21e-07,-0.121701504,0.398910523,-0.908877956,5.42e-08,1.981124764,-1.703907554,403.0198728,-32.12070909,1364.319537,1364.319537,783,27.424
957,33.52,-15.7,1.1,-4.3,-17.4,1.6,-4.0,1.0,-0.1,-0.2,1.0,0.435833665,0.366049347,0.58445719,0.641631386,119.2606542,374.0526017,172.0169347,114.1377704,119.2606542,-87.26465426,5.25e-08,1.0,9,1.478551116,-4.78243777,10.9060617,12,2.36e-08,-2.91e-08,2.74e-07,-0.123212591,0.398536478,-0.908838453,2.63e-08,1.980716895,-1.705546282,404.0543284,-31.87737404,1364.378857,1364.378857,957,33.52
961,33.652,-15.6,1.1,-4.3,-17.3,1.6,-4.1,1.0,-0.1,-0.2,1.0,0.438411104,0.361334641,0.583585611,0.643801493,120.2861973,373.4947909,170.9752832,115.2089244,120.2861973,-87.12156872,5.3e-08,1.0,9,1.478551116,-4.78243777,10.9060617,12,2.33e-08,-2.95e-08,2.74e-07,-0.123212591,0.398536478,-0.908838453,2.65e-08,1.980716895,-1.705546282,404.0543284,-31.87737404,1364.378857,1364.378857,961,33.652
969,33.913,-16.0,0.8,-4.7,-16.9,1.6,-4.1,1.0,-0.1,-0.2,0.52416265,0.681324897,0.252707161,0.308547101,0.723867669,4.49673178,197.4701444,132.5435188,3.997762881,4.49673178,-37.04769706,0.00951002,1.0,9,1.655517133,-4.708828992,12.32057547,12,-0.267437086,-0.234529678,1.35321969,-0.160246185,0.372858276,-0.913946315,0.00475501,1.952883858,-1.744366392,403.3094709,3.040778185,1207.735795,1207.735795,969,33.913
970,33.948,-16.0,0.8,-4.5,-16.9,1.6,-4.2,1.0,-0.1,-0.2,0.421373162,0.590321191,0.218744239,0.535176872,0.730222071,4.566074651,342.5131984,129.493406,4.498731258,4.566074651,-48.18883414,0.009579858,1.0,9,1.655517133,-4.708828992,12.32057547,12,0.047331919,-0.232334505,1.303555115,-0.134015435,0.373041207,-0.918085029,0.004789929,1.953081013,-1.715745376,403.3094709,3.040778185,1207.735795,1207.735795,970,33.948
1010,35.364,-16.0,0.8,-4.3,-16.9,1.6,-4.1,1.0,-0.2,-0.2,0.257723532,0.483322426,0.269904285,0.241512417,0.717319055,5.304996147,154.567947,135.6868534,4.561660415,5.304996147,-36.91261117,0.011291108,1.0,9,1.655517133,-4.708828992,12.32057547,12,-0.366215523,-0.230906965,1.372479221,-0.168477721,0.373160169,-0.912341354,0.005645554,1.953209234,-1.753404377,403.3094709,3.040778185,1207.735795,1207.735795,1010,35.364
1069,37.44,-15.5,1.8,-4.9,-16.9,1.6,-4.2,1.0,-0.2,-0.2,0.0,0.701367681,0.693137803,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,9,1.919680628,-4.655169463,14.11665286,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.3119117,35.5460763,1054.07423,1054.07423,1069,37.44
1123,39.285,-15.5,0.8,-4.4,-16.8,1.6,-4.2,0.9,-0.2,-0.3,0.479532327,0.425253929,0.326892887,0.207544218,0.687056412,13.79975803,132.8282995,150.2129221,11.36544679,13.79975803,-32.30997062,0.069870952,1.0,9,1.919680628,-4.655169463,14.11665286,12,-0.981353113,-0.470601359,3.250494709,-0.241752812,0.348714009,-0.905513179,0.034935476,1.926994959,-1.831690096,404.3119117,35.5460763,1054.07423,1054.07423,1123,39.285
1590,55.86,-17.1,1.8,-0.3,-16.8,1.6,-4.1,0.1,-0.1,1.0,0.99428659,0.262128835,0.705442862,0.635580537,0.520907435,139.3477486,406.7715434,229.9644313,133.99285,139.3477486,-81.39030339,1.370009921,1.0,91,3.097829603,-3.122706467,17.54127915,12,0.846575488,-0.081139321,6.153534675,-0.18760451,0.253463929,-0.948978706,0.685004961,1.827055774,-1.765970671,429.4934034,129.6273189,848.2847729,848.2847729,1590,55.86
1593,55.96,-17.1,1.8,-0.3,-16.9,1.6,-4.0,0.1,-0.1,1.0,1.0,0.259644591,0.705613947,0.636262625,0.521066357,139.5121935,407.2080801,229.8881485,134.1487691,139.5121935,-81.61645541,1.371250581,1.0,91,3.097829603,-3.122706467,17.54127915,12,0.850756953,-0.081845276,6.152520317,-0.187256054,0.253405099,-0.949063236,0.685625291,1.826994959,-1.765600351,429.4934034,129.6273189,848.2847729,848.2847729,1593,55.96
1596,56.06,-17.2,1.8,-0.3,-16.9,1.6,-3.8,0.1,-0.1,1.0,1.0,0.265184616,0.704803278,0.63474814,0.520859127,139.531117,406.2388094,229.9876191,134.1775992,139.531117,-81.11878592,1.372240918,1.0,91,3.097829603,-3.122706467,17.54127915,12,0.841370796,-0.080870331,6.154636686,-0.188038234,0.253486345,-0.948886872,0.686120459,1.827078946,-1.766428938,429.4934034,129.6273189,848.2847729,848.2847729,1596,56.06
1598,56.124,-17.2,1.9,-0.3,-17.0,1.6,-3.7,0.1,-0.1,1.0,1.0,0.269048358,0.707807497,0.633620767,0.519497436,140.0184246,405.5172906,230.6412308,134.5968437,140.0184246,-80.67602262,1.377941261,1.0,91,3.097829603,-3.122706467,17.54127915,12,0.834491365,-0.074256985,6.157771088,-0.18861152,0.254037457,-0.948625672,0.68897063,1.827648709,-1.767062859,429.4934034,129.6273189,848.2847729,848.2847729,1598,56.124
1600,56.193,-17.3,1.9,-0.3,-17.0,1.6,-3.5,0.1,-0.1,1.0,0.990880798,0.274973557,0.708111723,0.631967969,0.518879864,141.2147896,404.4595002,230.9376652,135.7354966,141.2147896,-80.10119845,1.390715239,1.0,91,3.097829603,-3.122706467,17.54127915,12,0.824065208,-0.071004818,6.160720616,-0.189480366,0.254308471,-0.948379878,0.69535762,1.827928925,-1.767993555,429.4934034,129.6273189,848.2847729,848.2847729,1600,56.193
1601,56.227,-17.3,1.9,-0.3,-17.1,1.6,-3.5,0.1,-0.1,1.0,0.991267039,0.279656017,0.70902732,0.630643627,0.518163353,141.7233201,403.6119212,231.2815906,136.2039634,141.7233201,-79.63363523,1.396574458,0.012934935,91,3.097829603,-3.122706467,17.54127915,12,0.815830347,-0.067457353,6.163320973,-0.190166605,0.254604093,-0.948163181,0.698287229,1.828234609,-1.768733329,429.4934034,129.6273189,848.2847729,848.2847729,1601,56.227
1605,56.388,-17.4,1.9,-0.3,-17.1,1.6,-3.3,0.1,-0.1,1.0,1.0,0.307518147,0.707027011,0.622843621,0.516482007,143.2416522,398.6199173,232.0886368,137.6431654,143.2416522,-76.99555477,1.415897713,0.138276025,91,3.097829603,-3.122706467,17.54127915,12,0.767098305,-0.05906893,6.175461244,-0.194227608,0.255303128,-0.947151492,0.707948857,1.828957535,-1.773057289,429.4934034,129.6273189,848.2847729,848.2847729,1605,56.388
1606,56.42,-17.4,1.9,-0.3,-17.2,1.6,-3.2,0.1,-0.1,1.0,0.965766827,0.312704724,0.707728204,0.621354878,0.515810287,143.3499718,397.6671221,232.4110621,137.7218635,143.3499718,-76.48195375,1.417879172,0.1353246,91,3.097829603,-3.122706467,17.54127915,12,0.757870179,-0.055832875,6.178230427,-0.194996619,0.255572799,-0.946920727,0.708939586,1.829236459,-1.77388445,429.4934034,129.6273189,848.2847729,848.2847729,1606,56.42
1656,58.2,-16.6,2.0,-0.4,-17.2,1.6,-1.8,0.1,-0.1,1.0,0.0,0.701367681,0.693137803,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,95,2.286297633,-3.139387002,11.3541671,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.8444312,68.57219512,1310.532061,1310.532061,1656,58.2
1671,58.762,-17.2,1.8,-0.3,-17.1,1.6,-1.8,0.1,-0.1,1.0,0.611380345,105.4423433,89.04934648,-0.790961325,-2.87144998,787.2314665,-506.215248,1858.295991,644.0742465,787.2314665,168.1196289,0.522297056,1.0,95,2.286297633,-3.139387002,11.3541671,12,-0.233296429,-0.115975894,0.017914142,-0.209966172,0.251950926,-0.944687746,0.261148528,1.825492015,-1.789501145,444.8444312,68.57219512,1310.532061,1310.532061,1671,58.762
1685,59.256,-17.2,1.8,-0.3,-17.1,1.6,-0.9,0.1,-0.1,1.0,1.0,105.4424648,89.04939945,-0.790960876,-2.871450446,787.2265403,-506.2149605,1858.296214,644.0785943,787.2265403,168.119994,0.52229683,1.0,95,2.286297633,-3.139387002,11.3541671,12,-0.233296429,-0.115975894,0.017914142,-0.209966172,0.251950926,-0.944687746,0.261148415,1.825492015,-1.789501145,444.8444312,68.57219512,1310.532061,1310.532061,1685,59.256
2087,73.788,-13.5,2.0,0.0,-14.3,1.6,-0.9,0.4,-0.1,0.9,0.028025528,-28.69932225,6.843180213,1.923565873,-0.212439689,3204.484353,1231.082159,581.9710508,963.7119413,3204.484353,85.50639775,5.012646926,1.0,97,1.499911843,-4.453144236,11.84209508,12,0.872505477,2.011184904,1.751564365,-0.052283864,0.538694095,-0.840877559,2.506323463,2.139682634,-1.632894121,398.5287854,6.852958971,1256.534414,1256.534414,2087,73.788
2141,75.764,-14.3,1.1,0.4,-14.8,1.6,-0.9,0.3,-0.1,0.9,0.010145266,9.649425295,6.475541278,-0.371504966,0.252938572,1873.546007,-237.7631785,358.5894853,771.3774004,1873.546007,-54.33549795,3.516386948,1.0,97,1.499911843,-4.453144236,11.84209508,12,-1.296967753,0.983542622,1.516403789,-0.2330733,0.453057238,-0.860474274,1.758193474,2.04098808,-1.835315225,398.5287854,6.852958971,1256.534414,1256.534414,2141,75.764
2166,76.656,-14.1,1.6,0.4,-14.7,1.6,-0.9,0.4,-0.1,0.9,0.81811888,0.562998484,0.552310967,0.545584694,0.554306297,135.2999473,349.1742043,213.9329774,127.2772326,135.2999473,-77.44041453,0.170743498,1.0,97,1.499911843,-4.453144236,11.84209508,12,0.035762077,-0.029728225,0.783629709,-0.12201248,0.368618001,-0.921538781,0.085371749,1.948318218,-1.702431512,398.5287854,6.852958971,1256.534414,1256.534414,2166,76.656
2167,76.688,-14.0,1.6,0.4,-14.7,1.6,-1.0,0.4,-0.1,0.9,1.0,0.564321918,0.55538763,0.545135285,0.553059428,136.2953475,348.8865825,214.5314745,128.1548267,136.2953475,-77.3713081,0.172078962,1.0,97,1.499911843,-4.453144236,11.84209508,12,0.035398977,-0.028938586,0.783993682,-0.122042739,0.368683804,-0.921508449,0.086039481,1.948389007,-1.702468065,398.5287854,6.852958971,1256.534414,1256.534414,2167,76.688
