index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-9.3,0.9,-3.5,-19.8,2.5,-4.2,1.0,-0.1,0.0,0.1779727806984051,0.2000000030384102,0.4999999983437687,0.4082968606712462,0.3087808527834215,181.70731861719963,261.3099908295976,331.7851906639577,179.57284832311117,181.70731861719963,57.36528838708344,1.6863643409751568,1.0,43,-1.4178372529441563,0.7934037321284907,17.765826553293806,12.0,-0.5398525099210894,0.8589345437778606,5.798168114662492,0.0731653952519222,0.0054609009707808,-0.9973048698859428,0.8431821704875784,1.5762572549080296,-1.4975644020238044,270.5196623310274,267.6885689750508,837.5630571064665,837.5630571064665,1,0.0
102,3.72,-16.0,1.1,-3.6,-20.3,1.7,-4.2,1.0,-0.1,0.0,0.8405510612799619,0.20000000302704,0.499999998250426,0.4272375463040957,0.3162604782415475,135.81141919303664,273.4320296346213,328.1949704440572,132.8177595655912,135.81141919303664,61.67729112885628,2.3498097000831333,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7969588924295148,1.544045071756543,10.802985315745682,0.1127781517687744,0.0601094837471103,-0.9918003521108848,1.1749048500415666,1.6309420669534962,-1.4575721169283848,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,102,3.72
104,3.79,-16.1,1.1,-3.6,-20.4,1.7,-4.3,1.0,-0.1,0.0,0.870572877262071,0.2000000030267901,0.499999998249783,0.4273150177931799,0.3152951037973392,135.7537538872353,273.4816113876352,328.6583501772772,132.73374168087034,135.7537538872353,61.76621021646319,2.348929143121885,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7961425533569269,1.5522814344027012,10.80358021148219,0.1128461800248234,0.0607958473009568,-0.9917507774661756,1.1744645715609423,1.6316296881353811,-1.457498787550484,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,104,3.79
105,3.82,-16.2,1.1,-3.7,-20.5,1.7,-4.3,1.0,-0.1,0.0,0.8623681992381247,0.200000003026892,0.4999999982508228,0.4270990889993308,0.3150594191865862,135.23888192456565,273.3434169595717,328.7714787904386,132.22786984323994,135.23888192456565,61.870014343245344,2.3399750958221186,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7986735929837798,1.5541923854344066,10.80340978562429,0.1126352600559189,0.0609550932202656,-0.9917649796210009,1.1699875479110593,1.6317892299460917,-1.4577103542843148,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,105,3.82
107,3.86,-15.3,1.0,-3.8,-20.6,1.7,-4.4,1.0,-0.1,0.0,0.963866625121129,0.2000000030264025,0.4999999982475582,0.4277252676671394,0.3147870133086768,135.50489248025605,273.74417130696924,328.9022336118352,132.46964464261714,135.50489248025605,61.68716631447822,2.3447995278731915,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7916308155498013,1.556659282158393,10.8043636337422,0.1132221581754172,0.0611606679472645,-0.9916854922778418,1.1723997639365955,1.631995188946188,-1.457117124565421,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,107,3.86
108,3.89,-15.3,1.0,-3.8,-20.7,1.7,-4.4,1.0,-0.1,0.0,0.844090774860544,0.200000003025396,0.4999999982413028,0.4289026613633627,0.3138472340377644,135.92844766441692,274.49770327255214,329.3533276618731,132.8369663566099,135.92844766441692,61.396632686420325,2.352592683741736,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7784170871998599,1.564939241815777,10.806393307515188,0.1143233022045789,0.0618506645853798,-0.9915163527967592,1.1762963418708678,1.6326864944231605,-1.4560017659631097,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,108,3.89
109,3.92,-15.3,1.0,-3.8,-20.7,1.7,-4.5,1.0,-0.1,0.0,0.8902009591311809,0.2000000030245202,0.4999999982357953,0.4299407800489733,0.3130721754298281,135.95730053788714,275.1620992313429,329.7253557936825,132.82508374141315,135.95730053788714,61.137474170974045,2.353499066055218,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7668350134062791,1.5717481773442707,10.808161195070468,0.1152884750207107,0.062418075879421,-0.9913690288338192,1.176749533027609,1.6332550042033342,-1.4550241643292507,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,109,3.92
110,3.95,-15.3,0.9,-3.9,-20.8,1.7,-4.5,1.0,-0.1,0.0,0.8858374731277904,0.200000003023136,0.4999999982267128,0.4316687471099084,0.312146336517262,136.19342224201205,276.2679981503414,330.16975847171426,132.99803280391674,136.19342224201205,60.6658971403359,2.3582376598379837,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7474950001632417,1.5800050313256333,10.81094906399053,0.1169001427909638,0.0631061470445345,-0.991136706423814,1.1791188299189916,1.6339444345836789,-1.4533931972919574,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,110,3.95
111,3.99,-15.3,0.9,-4.0,-20.9,1.7,-4.6,1.0,-0.1,0.0,0.8208826587725929,0.2000000030220032,0.4999999982193792,0.4330564442946714,0.3112925091660438,136.56491282246645,277.1561243485897,330.579595600299,133.31015439823267,136.56491282246645,60.30391647010914,2.3652135699631818,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7319204639032462,1.58760717398343,10.813282898796082,0.1181980208126301,0.0637396589326843,-0.990942220190018,1.1826067849815909,1.6345792244790114,-1.4520787996478068,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,111,3.99
112,4.02,-15.3,0.9,-4.0,-21.0,1.7,-4.7,1.0,-0.1,0.0,0.8474362739518408,0.2000000030208961,0.499999998211005,0.4346988665668438,0.3114725843569411,136.3196352699909,278.20727460278005,330.49315950866827,133.04471321503985,136.3196352699909,59.73478814564693,2.36149415078475,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.7135901458015264,1.5863620919644688,10.815403605919409,0.1197255473211067,0.0636359020977708,-0.9907654945964076,1.180747075392375,1.6344752565759617,-1.4505379701011358,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,112,4.02
114,4.08,-15.3,0.9,-4.1,-21.1,1.7,-4.7,1.0,-0.1,0.0,0.0094236333025382,0.200000002904676,0.499999997255973,0.6001484804066312,0.3931006172876066,105.0894189643048,384.095027460244,291.31170370194883,97.50660353350725,105.0894189643048,10.31586115140145,1.8902970734137463,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,1.1759395711955771,0.9250185757497508,11.17524916602575,0.2771863570708654,0.008523942413211,-0.9607783645875456,0.9451485367068732,1.5793203724330076,-1.2899213670799043,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,114,4.08
115,4.08,-15.3,0.9,-4.1,-21.1,1.7,-4.8,1.0,-0.1,0.0,0.8651870919724395,0.2000000030190885,0.4999999981977456,0.4372761100160532,0.311418126696795,135.8743164300072,279.8567104102741,330.5192991855384,132.55836541546373,135.8743164300072,58.88875006520419,2.3546587509027805,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.684844448937572,1.5872877789677422,10.818972056085306,0.1221210220597696,0.063713042681377,-0.9904681237492494,1.1773293754513905,1.6345525540176007,-1.4481192044103446,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,115,4.08
124,4.41,-15.3,0.9,-4.2,-21.2,1.7,-4.8,1.0,-0.1,0.0,0.1992229617651209,0.2000000030143226,0.4999999981292621,0.4513247628958275,0.3389651475504625,111.40609039861282,288.84784825332963,317.296729175778,109.07823431981156,111.40609039861282,50.30500688849339,1.9333659022514915,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.5323492975017534,1.3532620945859437,10.826004473850356,0.1348289513460878,0.044210902316227,-0.989882088935495,0.9666829511257456,1.6150216442607792,-1.4354223119186114,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,124,4.41
259,8.96,-9.3,0.2,-6.1,-21.2,1.7,-5.7,1.0,-0.1,-0.1,0.1855927791556172,0.2000000030084618,0.499999998079765,0.4607015357049558,0.3445213525896683,131.76161986585078,294.84898285117174,314.6297507569592,128.92562999268029,131.76161986585078,46.072376121274594,2.2903697496401003,1.0,43,-2.150296713654808,0.8227312667912184,22.7045895410763,12.0,-0.4223866199323962,1.3092953369593,10.839616632820938,0.1439925078102009,0.0405470058473401,-0.9887477423546136,1.1451848748200502,1.6113544511529063,-1.4261817705650948,261.2813008553168,262.4665319092298,655.374102803297,655.374102803297,259,8.96
